Month / Height [km rel. to TP];-7;-6;-5;-4;-3;-2;-1;-0.6;-0.3;0;0.3;0.6;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1;39.4287;41.3818;43.8232;45.8984;48.2178;53.2837;62.0728;72.3267;83.1909;101.013;140.015;190.979;260.986;367.981;494.019;627.991;849.976;1150.02;1560;2070.01;2679.99;3320.01;3940;4520.02;4989.99;5359.99;5640.01;5820.01;5870
2;40.7104;43.5791;45.7153;47.9126;51.0864;57.0068;67.0776;81.7871;95.5811;116.028;164.001;229.98;322.998;443.97;562.988;702.026;922.974;1229.98;1650.02;2200.01;2760.01;3359.99;3969.97;4520.02;4979.98;5359.99;5609.99;5780.03;5890.01
3;45.2881;47.6074;49.9268;51.8799;55.1758;60.3027;68.4814;79.895;93.0786;117.981;179.016;255.005;361.023;492.981;590.027;692.993;885.01;1200.01;1590.03;2090.03;2700.01;3270.02;3880;4380;4789.98;5140.01;5409.97;5650.02;5890.01
4;51.6968;54.8706;57.373;60.3027;63.7207;70.9839;83.6182;97.9004;114.014;140.991;206.97;288.025;390.991;504.028;594.971;705.017;906.006;1179.99;1530.03;1989.99;2549.99;3120;3650.02;4140.01;4570.01;4969.97;5370;5710.02;6020.02
5;57.6782;61.4014;64.6973;68.1152;73.9136;81.9702;93.8721;109.985;127.991;161.011;234.985;318.97;409.973;489.99;559.998;671.997;864.99;1140.01;1510.01;1940;2460.02;3010.01;3560;4060;4530.03;5010.01;5489.99;5979.98;6409.97
6;61.2793;66.4062;70.6787;75.0732;80.5054;91.1255;106.995;125.977;146.973;179.016;241.028;309.998;380.005;458.008;536.987;653.992;825.012;1030.03;1370;1780.03;2320.01;2870;3419.98;4020.02;4620;5210.02;5799.99;6359.99;6780.03
7;60.6079;65.6128;71.2891;74.8901;79.2236;86.1816;96.0083;109.009;124.023;148.01;200.989;254.028;304.993;353.027;426.025;552.002;731.018;979.98;1320.01;1750;2299.99;2859.99;3450.01;4060;4679.99;5320.01;5950.01;6469.97;6849.98
8;60.4858;64.0259;67.1997;70.1294;73.6084;80.0171;87.8906;97.5952;107.971;127.014;164.001;203.003;245.972;299.988;377.014;513.977;716.98;992.004;1359.99;1799.99;2299.99;2820.01;3400.02;4060;4729.98;5390.01;5969.97;6479.98;6880
9;51.6968;55.1147;58.5938;60.9741;63.5986;69.2139;76.9043;86.9751;97.29;112.976;140.015;166.992;202.026;255.005;367.981;539.978;783.02;1099.98;1489.99;1940;2400.02;2880;3429.99;4000;4580.02;5140.01;5609.99;6010.01;6349.98
10;45.8984;48.0957;49.6826;52.1851;55.2979;59.021;67.8711;77.8809;87.5244;99.6094;125;153.992;195.984;268.982;382.996;559.021;827.026;1169.98;1560;2010.01;2500;3030.03;3570.01;4099.98;4630;5099.98;5460.02;5770.02;5969.97
11;39.978;42.7246;45.2881;47.9126;50.9033;55.1758;62.3779;71.5942;80.9937;93.3228;117.981;145.996;187.988;252.014;354.98;494.019;734.985;1020.02;1419.98;1870;2340.03;2849.98;3419.98;4000;4530.03;5010.01;5310;5500;5609.99
12;38.3911;40.7104;42.7246;44.3726;46.9971;51.2085;58.7158;67.8711;77.2095;90.5151;119.995;156.982;205.994;283.997;390.015;556.03;747.986;1030.03;1400.02;1859.99;2400.02;2969.97;3580.02;4179.99;4719.97;5169.98;5460.02;5650.02;5739.99
yearly average;49.3774;52.6123;55.603;58.2886;61.8286;67.8711;77.6978;89.9048;103.027;124.023;169.006;223.022;291.992;375;469.971;606.018;815.979;1099.98;1479.98;1940;2479.98;3030.03;3599.98;4169.98;4700.01;5179.99;5590.03;5929.99;6190
