original_name,TACTS,PGS,WISE,SHTR,ATOM
BAHAMAS,TRUE,TRUE,TRUE,TRUE,FALSE
FAIRO,TRUE,TRUE,TRUE,TRUE,FALSE
FAIROCI,FALSE,TRUE,FALSE,TRUE,FALSE
GHOST_ECD,TRUE,TRUE,TRUE,TRUE,FALSE
UMAQS,FALSE,FALSE,TRUE,TRUE,FALSE
HAGAR,FALSE,TRUE,FALSE,FALSE,FALSE
HAGARV_LI,FALSE,FALSE,TRUE,TRUE,FALSE
CLAMS,FALSE,TRUE,FALSE,FALSE,FALSE
CLAMS_MET,FALSE,FALSE,TRUE,TRUE,TRUE
TRAJ_2PV,TRUE,FALSE,FALSE,FALSE,FALSE
TRAJ_WMO,TRUE,FALSE,FALSE,FALSE,FALSE
GLORIA,FALSE,FALSE,FALSE,TRUE,FALSE
TRIHOP,FALSE,TRUE,FALSE,FALSE,FALSE
TRIHOP_CO,TRUE,FALSE,FALSE,FALSE,FALSE
TRIHOP_N2O,TRUE,FALSE,FALSE,FALSE,FALSE
TRIHOP_CO2,TRUE,FALSE,FALSE,FALSE,FALSE
TRIHOP_CH4,TRUE,FALSE,FALSE,FALSE,FALSE
HAI14,FALSE,TRUE,TRUE,FALSE,FALSE
HAI16,FALSE,TRUE,TRUE,FALSE,FALSE
GCECD,FALSE,FALSE,FALSE,FALSE,TRUE
MMS,FALSE,FALSE,FALSE,FALSE,TRUE
UCATS-O3,FALSE,FALSE,FALSE,FALSE,TRUE
